Ticker,Sector,MarketCap,ROE,DER,NPM
BBKP,Financials,"13,6E+12","-40,6E+0","9,8E+0","-78,6E+0"
BBLD,Financials,"1,4E+12","3,1E+0","4,3E+0","7,0E+0"
BBMD,Financials,"7,9E+12","6,4E+0","2,1E+0","36,3E+0"
BBNI,Financials,"1,6E+14","11,8E+0","6,4E+0","33,4E+0"
BBRI,Financials,"5,5E+14","16,5E+0","5,3E+0","31,4E+0"
BBRM,Energy,"73,8E+10","16,3E+0","10,0E-2","67,6E+0"
BBSI,Financials,"14,5E+12","4,2E+0","2,1E+0","9,2E+0"
BBSS,Properties & Real Estate,"1,7E+12","-42,0E-2","2,0E-2","-2,0E+2"
BBTN,Financials,"16,6E+12","9,3E+0","12,8E+0","12,9E+0"
BBYB,Financials,"5,7E+12","11,6E+0","3,5E+0","19,6E+0"
BCAP,Financials,"2,3E+12","2,2E+0","4,0E+0","5,2E+0"
BCIC,Financials,"2,9E+12","-2,4E+0","9,1E+0","-4,1E+0"
BCIP,Properties & Real Estate,"14,3E+10","3,3E+0","75,0E-2","16,6E+0"
BDKR,Infrastructures,"79,9E+10","-2,3E+0","52,0E-2","-6,1E+0"
BDMN,Financials,"24,1E+12","6,8E+0","3,8E+0","20,0E+0"
BEBS,Basic Materials,"22,5E+10","-4,6E+0","11,0E-2","-71,4E+0"
BEEF,Consumer Non-Cyclicals,"5,3E+12","45,0E+0","4,1E+0","3,2E+0"
BEER,Consumer Non-Cyclicals,"80,0E+10","3,0E+0","9,0E-2","26,6E+0"
BEKS,Financials,"1,4E+12","2,5E+0","4,5E+0","9,6E+0"
BELI,Technology,"61,6E+12","-27,4E+0","92,0E-2","-16,4E+0"
BELL,Consumer Cyclicals,"50,8E+10","1,9E+0","1,1E+0","1,2E+0"
BESS,Energy,"6,0E+12","14,4E+0","9,0E-2","36,2E+0"
BEST,Properties & Real Estate,"98,4E+10","17,0E-2","29,0E-2","3,1E+0"
BFIN,Financials,"11,3E+12","14,9E+0","1,3E+0","38,7E+0"
BGTG,Financials,"2,9E+12","6,6E+0","1,8E+0","43,9E+0"
BHAT,Financials,"7,6E+12","-6,0E-2","1,0E+0","-32,0E-2"
BHIT,Industrials,"2,8E+12","41,0E-2","80,0E-2","1,6E+0"
BIKA,Properties & Real Estate,"3,3E+10",,"-7,7E+0","-54,4E+0"
BIKE,Consumer Cyclicals,"1,1E+12","13,1E+0","2,1E+0","5,5E+0"
BIMA,Consumer Cyclicals,"5,0E+10","-51,9E+0","5,1E+0","-30,1E+0"
BINA,Financials,"27,3E+12","12,0E-2","7,2E+0","32,0E-2"
BINO,Industrials,"35,0E+10","-12,0E+0","35,0E-2","-18,7E+0"
BIPI,Energy,"6,0E+12","-40,0E-2","1,8E+0","-1,2E+0"
BIPP,Properties & Real Estate,"24,6E+10","3,1E+0","82,0E-2","16,2E+0"
